name,symbol
Sanco Industries Limited,SANCO
Ortel Communications Limited,ORTEL
Setubandhan Infrastructure Limited,SETUINFRA
Lakshmi Precision Screws Limited,LAKPRE
Shanti Overseas (India) Limited,SHANTI
Premier Limited,PREMIER
DCM Financial Services Limited,DCMFINSERV
Omkar Speciality Chemicals Limited,OMKARCHEM
MT Educare Limited,MTEDUCARE
Usha Martin Education & Solutions Limited,UMESLTD
Shyam Telecom Limited,SHYAMTEL
Eurotex Industries and Exports Limited,EUROTEXIND
Compuage Infocom Limited,COMPINFO
Globale Tessile Limited,GLOBALE
Winsome Yarns Limited,WINSOME
Rajdarshan Industries Limited,ARENTERP
Tijaria Polypipes Limited,TIJARIA
Creative Eye Limited,CREATIVEYE
Antarctica Limited,ANTGRAPHIC
Kalyani Commercials Limited,KALYANI
ORTIN GLOBAL LIMITED,ORTINGLOBE
Impex Ferro Tech Limited,IMPEXFERRO
Gujarat Lease Financing Limited,GLFL
Uniinfo Telecom Services Limited,UNIINFO
Lypsa Gems & Jewellery Limited,LYPSAGEMS
Sanwaria Consumer Limited,SANWARIA
Visagar Polytex Limited,VIVIDHA
JHS Svendgaard Retail Ventures Limited,RETAIL
Radaan Mediaworks India Limited,RADAAN
Niraj Ispat Industries Limited,NIRAJISPAT
Heads UP Ventures Limited,HEADSUP
Sab Events & Governance Now Media Limited,SABEVENTS
Silly Monks Entertainment Limited,SILLYMONKS
Ace Integrated Solutions Limited,ACEINTEG
MEP Infrastructure Developers Limited,MEP
Astron Paper & Board Mill Limited,ASTRON
G-TEC JAINX EDUCATION LIMITED,GTECJAINX
TCI Finance Limited,TCIFINANCE
Gujarat Raffia Industries Limited,GUJRAFFIA
BIL VYAPAR LIMITED,BILVYAPAR
Morarjee Textiles Limited,MORARJEE
Mahalaxmi Fabric Mills Limited,MFML
TV Vision Limited,TVVISION
Ankit Metal & Power Limited,ANKITMETAL
Sri Havisha Hospitality and Infrastructure Limited,HAVISHA
Future Lifestyle Fashions Limited,FLFL
Supreme Engineering Limited,SUPREMEENG
Infomedia Press Limited,INFOMEDIA
Khandwala Securities Limited,KHANDSE
Cyber Media (India) Limited,CYBERMEDIA
Laxmi Cotspin Limited,LAXMICOT
Libas Consumer Products Limited,LIBAS
Shrenik Limited,SHRENIK
TECIL Chemicals and Hydro Power Limited,TECILCHEM
TGB Banquets And Hotels Limited,TGBHOTELS
Flexituff Ventures International Limited,FLEXITUFF
Kanani Industries Limited,KANANIIND
Viji Finance Limited,VIJIFIN
Williamson Magor & Company Limited,WILLAMAGOR
DSJ Keep Learning Limited,KEEPLEARN
Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA
Seya Industries Limited,SEYAIND
Siti Networks Limited,SITINET
Pearl Polymers Limited,PEARLPOLY
Kridhan Infra Limited,KRIDHANINF
Future Enterprises Limited,FEL
Future Enterprises Limited,FELDVR
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP
California Software Company Limited,CALSOFT
Akshar Spintex Limited,AKSHAR
Pritish Nandy Communications Limited,PNC
STL Global Limited,SGL
Madhav Marbles and Granites Limited,MADHAV
GSS Infotech Limited,GSS
Madhucon Projects Limited,MADHUCON
Simbhaoli Sugars Limited,SIMBHALS
Rollatainers Limited,ROLLT
Super Spinning Mills Limited,SUPERSPIN
Mohit Industries Limited,MOHITIND
SVP GLOBAL TEXTILES LIMITED,SVPGLOB
Blue Coast Hotels Limited,BLUECOAST
